word,r4,frequency,neighbors
years,797,5.96,14
never,526,5.91,5
state,609,5.78,11
money,815,5.64,7
times,1921,5.56,13
start,510,5.56,7
water,1171,5.52,17
power,1033,5.52,13
based,1299,5.51,14
later,1274,5.49,23
party,947,5.49,8
makes,2105,5.46,23
games,1827,5.44,21
means,1001,5.44,13
given,589,5.41,4
needs,694,5.37,11
comes,2068,5.36,24
looks,999,5.36,15
class,704,5.36,12
taken,1103,5.33,6
works,1395,5.29,9
march,594,5.26,5
words,1429,5.25,12
wants,1718,5.24,12
seems,770,5.24,10
shows,738,5.23,15
share,633,5.2,18
weeks,674,5.19,10
takes,2085,5.18,24
girls,892,5.17,10
hands,1402,5.16,11
press,506,5.16,11
books,1280,5.15,17
lives,1771,5.14,15
model,711,5.13,7
lower,1034,5.11,15
terms,839,5.1,8
cover,1256,5.08,17
parts,2069,5.07,19
paper,1264,5.07,14
rules,1918,5.06,13
cases,2142,5.04,24
gives,1186,5.03,11
river,1177,5.03,20
sales,2179,5.02,24
moved,1026,5.01,8
plans,889,5.01,13
miles,2185,5.0,21
loved,1189,5.0,12
cross,578,5.0,8
teams,1039,4.97,10
costs,1690,4.96,11
lines,2092,4.95,27
named,1043,4.95,8
goals,566,4.95,4
names,1781,4.91,17
calls,1485,4.91,16
feels,788,4.9,9
carry,779,4.89,7
fully,537,4.89,9
rates,2111,4.88,28
lived,1189,4.88,14
peter,700,4.88,3
stars,874,4.86,12
types,1413,4.85,11
glass,550,4.85,5
notes,1706,4.84,14
songs,1106,4.84,9
plays,744,4.84,8
paris,1694,4.82,13
louis,586,4.82,5
basis,1245,4.81,7
waste,576,4.81,6
tells,1448,4.78,17
cards,1935,4.76,20
liked,1136,4.76,12
turns,1111,4.76,9
cells,1272,4.75,17
sites,1841,4.74,20
funds,914,4.74,6
helps,771,4.74,7
likes,1757,4.73,16
jones,1686,4.73,11
sides,1648,4.73,18
forms,1471,4.73,13
steps,560,4.73,6
links,1409,4.72,19
facts,1295,4.72,5
hello,543,4.72,7
plane,518,4.72,7
harry,513,4.72,9
tired,1331,4.71,13
fixed,1035,4.7,10
homes,1890,4.69,18
banks,1757,4.69,14
noted,938,4.69,7
trees,652,4.69,15
saved,1214,4.67,12
heads,1123,4.67,12
tests,992,4.67,15
shoes,749,4.67,9
keeps,609,4.67,15
loves,1853,4.66,16
taxes,1928,4.65,21
posts,1622,4.65,9
